Mode XML Parameters
ACO
maxNumIterations	50
pheromonesEvaporationRate	0.65
alpha	0.85
beta	0.85
numberOfAnts	15
GA
geneType	Simple
maxNumIterations	35
eliteNumber	0
mutationRate	0.05
crossoverRate	0.6
EVA
acoImportance	0.5
agImportance	0.5
Maze	dimension	col	#	#ok	#no	avg ok
maze20_5_0.mz	20	5	0	100	0	0.47
maze20_5_1.mz	20	5	1	100	0	0.12
maze20_5_2.mz	20	5	2	100	0	0.01
maze20_5_3.mz	20	5	3	100	0	0.56
maze20_5_4.mz	20	5	4	100	0	0.18
maze20_5_5.mz	20	5	5	100	0	0.01
maze20_5_6.mz	20	5	6	100	0	1.68
maze20_5_7.mz	20	5	7	100	0	0.0
maze20_5_8.mz	20	5	8	100	0	0.01
maze20_5_9.mz	20	5	9	100	0	0.52
maze20_10_0.mz	20	10	0	100	0	0.12
maze20_10_1.mz	20	10	1	100	0	0.0
maze20_10_2.mz	20	10	2	100	0	0.8
maze20_10_3.mz	20	10	3	100	0	0.0
maze20_10_4.mz	20	10	4	100	0	0.42
maze20_10_5.mz	20	10	5	100	0	2.45
maze20_10_6.mz	20	10	6	100	0	0.63
maze20_10_7.mz	20	10	7	100	0	0.08
maze20_10_8.mz	20	10	8	100	0	0.8
maze20_10_9.mz	20	10	9	100	0	0.09
maze30_5_0.mz	30	5	0	100	0	1.28
maze30_5_1.mz	30	5	1	100	0	3.9
maze30_5_2.mz	30	5	2	100	0	4.69
maze30_5_3.mz	30	5	3	100	0	0.01
maze30_5_4.mz	30	5	4	100	0	0.09
maze30_5_5.mz	30	5	5	100	0	1.71
maze30_5_6.mz	30	5	6	100	0	0.81
maze30_5_7.mz	30	5	7	100	0	0.7
maze30_5_8.mz	30	5	8	100	0	2.26
maze30_5_9.mz	30	5	9	100	0	0.53
maze30_10_0.mz	30	10	0	100	0	0.14
maze30_10_1.mz	30	10	1	100	0	0.01
maze30_10_2.mz	30	10	2	100	0	4.53
maze30_10_3.mz	30	10	3	100	0	1.2
maze30_10_4.mz	30	10	4	100	0	0.03
maze30_10_5.mz	30	10	5	100	0	0.39
maze30_10_6.mz	30	10	6	100	0	0.31
maze30_10_7.mz	30	10	7	99	1	3.414141414141414
maze30_10_8.mz	30	10	8	100	0	2.01
maze30_10_9.mz	30	10	9	100	0	0.34
maze30_15_0.mz	30	15	0	100	0	0.23
maze30_15_1.mz	30	15	1	100	0	0.37
maze30_15_2.mz	30	15	2	100	0	0.12
maze30_15_3.mz	30	15	3	100	0	1.26
maze30_15_4.mz	30	15	4	100	0	2.56
maze30_15_5.mz	30	15	5	100	0	2.38
maze30_15_6.mz	30	15	6	100	0	1.76
maze30_15_7.mz	30	15	7	100	0	0.36
maze30_15_8.mz	30	15	8	98	2	3.2142857142857144
maze30_15_9.mz	30	15	9	97	3	6.154639175257732
maze40_5_0.mz	40	5	0	95	5	8.094736842105263
maze40_5_1.mz	40	5	1	93	7	6.78494623655914
maze40_5_2.mz	40	5	2	100	0	0.02
maze40_5_3.mz	40	5	3	100	0	0.07
maze40_5_4.mz	40	5	4	100	0	1.46
maze40_5_5.mz	40	5	5	100	0	1.69
maze40_5_6.mz	40	5	6	100	0	1.45
maze40_5_7.mz	40	5	7	100	0	3.95
maze40_5_8.mz	40	5	8	100	0	0.3
maze40_5_9.mz	40	5	9	100	0	0.3
maze40_10_0.mz	40	10	0	100	0	2.82
maze40_10_1.mz	40	10	1	100	0	0.97
maze40_10_2.mz	40	10	2	100	0	0.06
maze40_10_3.mz	40	10	3	100	0	0.57
maze40_10_4.mz	40	10	4	99	1	1.8585858585858586
maze40_10_5.mz	40	10	5	100	0	0.51
maze40_10_6.mz	40	10	6	99	1	2.3838383838383836
maze40_10_7.mz	40	10	7	100	0	2.06
maze40_10_8.mz	40	10	8	100	0	1.54
maze40_10_9.mz	40	10	9	100	0	0.97
maze40_20_0.mz	40	20	0	91	9	5.637362637362638
maze40_20_1.mz	40	20	1	97	3	6.701030927835052
