Mode XML Parameters
ACO
maxNumIterations	100
pheromonesEvaporationRate	0.65
alpha	0.85
beta	0.85
numberOfAnts	20
GA
geneType	Simple
maxNumIterations	50
eliteNumber	0
mutationRate	0.05
crossoverRate	0.6
EVA
acoImportance	0.5
agImportance	0.5
Maze	dimension	col	#	#ok	#no	avg ok
maze20_5_0.mz	20	5	0	100	0	0.22
maze20_5_1.mz	20	5	1	100	0	0.07
maze20_5_2.mz	20	5	2	100	0	0.0
maze20_5_3.mz	20	5	3	100	0	0.57
maze20_5_4.mz	20	5	4	100	0	0.03
maze20_5_5.mz	20	5	5	100	0	0.01
maze20_5_6.mz	20	5	6	100	0	1.87
maze20_5_7.mz	20	5	7	100	0	0.0
maze20_5_8.mz	20	5	8	100	0	0.0
maze20_5_9.mz	20	5	9	100	0	0.28
maze20_10_0.mz	20	10	0	100	0	0.03
maze20_10_1.mz	20	10	1	100	0	0.02
maze20_10_2.mz	20	10	2	100	0	0.87
maze20_10_3.mz	20	10	3	100	0	0.0
maze20_10_4.mz	20	10	4	100	0	0.29
maze20_10_5.mz	20	10	5	100	0	1.11
maze20_10_6.mz	20	10	6	100	0	0.28
maze20_10_7.mz	20	10	7	100	0	0.04
maze20_10_8.mz	20	10	8	100	0	0.86
maze20_10_9.mz	20	10	9	100	0	0.08
maze30_5_0.mz	30	5	0	100	0	0.67
maze30_5_1.mz	30	5	1	100	0	2.02
maze30_5_2.mz	30	5	2	99	1	4.474747474747475
maze30_5_3.mz	30	5	3	100	0	0.0
maze30_5_4.mz	30	5	4	100	0	0.06
maze30_5_5.mz	30	5	5	99	1	2.313131313131313
maze30_5_6.mz	30	5	6	100	0	0.45
maze30_5_7.mz	30	5	7	100	0	0.49
maze30_5_8.mz	30	5	8	100	0	2.02
maze30_5_9.mz	30	5	9	100	0	0.56
maze30_10_0.mz	30	10	0	100	0	0.18
maze30_10_1.mz	30	10	1	100	0	0.03
maze30_10_2.mz	30	10	2	99	1	5.303030303030303
maze30_10_3.mz	30	10	3	100	0	1.13
maze30_10_4.mz	30	10	4	100	0	0.03
maze30_10_5.mz	30	10	5	100	0	0.21
maze30_10_6.mz	30	10	6	100	0	0.26
maze30_10_7.mz	30	10	7	100	0	2.61
maze30_10_8.mz	30	10	8	100	0	2.25
maze30_10_9.mz	30	10	9	100	0	0.13
maze30_15_0.mz	30	15	0	100	0	0.09
maze30_15_1.mz	30	15	1	100	0	0.23
maze30_15_2.mz	30	15	2	100	0	0.05
maze30_15_3.mz	30	15	3	100	0	0.74
maze30_15_4.mz	30	15	4	100	0	2.37
maze30_15_5.mz	30	15	5	100	0	1.05
maze30_15_6.mz	30	15	6	100	0	1.82
maze30_15_7.mz	30	15	7	100	0	0.22
maze30_15_8.mz	30	15	8	100	0	1.95
maze30_15_9.mz	30	15	9	100	0	4.0
maze40_5_0.mz	40	5	0	97	3	8.65979381443299
maze40_5_1.mz	40	5	1	100	0	7.84
maze40_5_2.mz	40	5	2	100	0	0.0
maze40_5_3.mz	40	5	3	100	0	0.08
maze40_5_4.mz	40	5	4	100	0	1.42
maze40_5_5.mz	40	5	5	100	0	1.34
maze40_5_6.mz	40	5	6	100	0	0.86
maze40_5_7.mz	40	5	7	100	0	2.5
maze40_5_8.mz	40	5	8	100	0	0.13
maze40_5_9.mz	40	5	9	100	0	0.31
maze40_10_0.mz	40	10	0	100	0	1.77
maze40_10_1.mz	40	10	1	100	0	0.82
maze40_10_2.mz	40	10	2	100	0	0.03
maze40_10_3.mz	40	10	3	100	0	0.69
maze40_10_4.mz	40	10	4	100	0	0.94
maze40_10_5.mz	40	10	5	100	0	0.49
maze40_10_6.mz	40	10	6	100	0	1.33
maze40_10_7.mz	40	10	7	100	0	1.35
maze40_10_8.mz	40	10	8	100	0	1.07
maze40_10_9.mz	40	10	9	100	0	0.17
maze40_20_0.mz	40	20	0	100	0	6.3
maze40_20_1.mz	40	20	1	100	0	4.36
maze40_20_2.mz	40	20	2	100	0	1.5
maze40_20_3.mz	40	20	3	100	0	1.8
maze40_20_4.mz	40	20	4	98	2	8.346938775510203
maze40_20_5.mz	40	20	5	100	0	1.39
maze40_20_6.mz	40	20	6	100	0	0.17
maze40_20_7.mz	40	20	7	100	0	0.28
maze40_20_8.mz	40	20	8	100	0	0.17
maze40_20_9.mz	40	20	9	100	0	3.21
maze50_5_0.mz	50	5	0	99	1	4.97979797979798
maze50_5_1.mz	50	5	1	100	0	2.15
maze50_5_2.mz	50	5	2	100	0	7.86
maze50_5_3.mz	50	5	3	99	1	3.797979797979798
maze50_5_4.mz	50	5	4	100	0	0.0
maze50_5_5.mz	50	5	5	100	0	2.41
maze50_5_6.mz	50	5	6	100	0	2.25
maze50_5_7.mz	50	5	7	100	0	4.35
maze50_5_8.mz	50	5	8	96	4	12.427083333333334
maze50_5_9.mz	50	5	9	99	1	4.686868686868687
maze50_10_0.mz	50	10	0	100	0	7.99
maze50_10_1.mz	50	10	1	100	0	0.63
maze50_10_2.mz	50	10	2	100	0	1.37
