Mode XML Parameters
ACO
maxNumIterations	50
pheromonesEvaporationRate	0.65
alpha	0.85
beta	0.85
numberOfAnts	15
GA
geneType	Simple
maxNumIterations	35
eliteNumber	0
mutationRate	0.05
crossoverRate	0.6
EVA
acoImportance	0.25
agImportance	0.75
Maze	dimension	col	#	#ok	#no	avg ok
maze20_5_0.mz	20	5	0	100	0	0.24
maze20_5_1.mz	20	5	1	100	0	0.02
maze20_5_2.mz	20	5	2	100	0	0.0
maze20_5_3.mz	20	5	3	100	0	0.36
maze20_5_4.mz	20	5	4	100	0	0.04
maze20_5_5.mz	20	5	5	100	0	0.0
maze20_5_6.mz	20	5	6	100	0	0.49
maze20_5_7.mz	20	5	7	100	0	0.0
maze20_5_8.mz	20	5	8	100	0	0.01
maze20_5_9.mz	20	5	9	100	0	0.08
maze20_10_0.mz	20	10	0	100	0	0.02
maze20_10_1.mz	20	10	1	100	0	0.01
maze20_10_2.mz	20	10	2	100	0	0.46
maze20_10_3.mz	20	10	3	100	0	0.0
maze20_10_4.mz	20	10	4	100	0	0.25
maze20_10_5.mz	20	10	5	100	0	0.75
maze20_10_6.mz	20	10	6	100	0	0.08
maze20_10_7.mz	20	10	7	100	0	0.01
maze20_10_8.mz	20	10	8	100	0	0.37
maze20_10_9.mz	20	10	9	100	0	0.02
maze30_5_0.mz	30	5	0	100	0	0.42
maze30_5_1.mz	30	5	1	100	0	1.76
maze30_5_2.mz	30	5	2	100	0	3.78
maze30_5_3.mz	30	5	3	100	0	0.0
maze30_5_4.mz	30	5	4	100	0	0.02
maze30_5_5.mz	30	5	5	100	0	0.7
maze30_5_6.mz	30	5	6	100	0	0.37
maze30_5_7.mz	30	5	7	100	0	0.36
maze30_5_8.mz	30	5	8	100	0	0.62
maze30_5_9.mz	30	5	9	100	0	0.35
maze30_10_0.mz	30	10	0	100	0	0.03
maze30_10_1.mz	30	10	1	100	0	0.01
maze30_10_2.mz	30	10	2	100	0	2.52
maze30_10_3.mz	30	10	3	100	0	0.41
maze30_10_4.mz	30	10	4	100	0	0.01
maze30_10_5.mz	30	10	5	100	0	0.11
maze30_10_6.mz	30	10	6	100	0	0.08
maze30_10_7.mz	30	10	7	100	0	1.75
maze30_10_8.mz	30	10	8	100	0	0.71
maze30_10_9.mz	30	10	9	100	0	0.15
maze30_15_0.mz	30	15	0	100	0	0.04
maze30_15_1.mz	30	15	1	100	0	0.15
maze30_15_2.mz	30	15	2	100	0	0.04
maze30_15_3.mz	30	15	3	100	0	0.49
maze30_15_4.mz	30	15	4	100	0	0.83
maze30_15_5.mz	30	15	5	100	0	1.26
maze30_15_6.mz	30	15	6	100	0	1.11
maze30_15_7.mz	30	15	7	100	0	0.08
maze30_15_8.mz	30	15	8	100	0	1.57
maze30_15_9.mz	30	15	9	100	0	2.51
maze40_5_0.mz	40	5	0	100	0	4.93
maze40_5_1.mz	40	5	1	99	1	4.898989898989899
maze40_5_2.mz	40	5	2	100	0	0.0
maze40_5_3.mz	40	5	3	100	0	0.0
maze40_5_4.mz	40	5	4	100	0	0.86
maze40_5_5.mz	40	5	5	100	0	1.09
maze40_5_6.mz	40	5	6	100	0	0.81
maze40_5_7.mz	40	5	7	100	0	1.83
maze40_5_8.mz	40	5	8	100	0	0.2
maze40_5_9.mz	40	5	9	100	0	0.09
maze40_10_0.mz	40	10	0	100	0	1.79
maze40_10_1.mz	40	10	1	100	0	0.44
maze40_10_2.mz	40	10	2	100	0	0.06
maze40_10_3.mz	40	10	3	100	0	0.42
maze40_10_4.mz	40	10	4	100	0	1.19
maze40_10_5.mz	40	10	5	100	0	0.3
maze40_10_6.mz	40	10	6	100	0	0.69
maze40_10_7.mz	40	10	7	100	0	0.84
maze40_10_8.mz	40	10	8	100	0	0.79
maze40_10_9.mz	40	10	9	100	0	0.41
maze40_20_0.mz	40	20	0	100	0	4.21
maze40_20_1.mz	40	20	1	100	0	2.13
maze40_20_2.mz	40	20	2	100	0	0.96
maze40_20_3.mz	40	20	3	100	0	0.81
maze40_20_4.mz	40	20	4	98	2	6.755102040816326
maze40_20_5.mz	40	20	5	100	0	0.95
maze40_20_6.mz	40	20	6	100	0	0.12
maze40_20_7.mz	40	20	7	100	0	0.14
maze40_20_8.mz	40	20	8	100	0	0.07
maze40_20_9.mz	40	20	9	100	0	1.54
maze50_5_0.mz	50	5	0	100	0	2.41
maze50_5_1.mz	50	5	1	100	0	2.34
maze50_5_2.mz	50	5	2	100	0	5.67
maze50_5_3.mz	50	5	3	100	0	1.28
maze50_5_4.mz	50	5	4	100	0	0.0
maze50_5_5.mz	50	5	5	100	0	1.67
maze50_5_6.mz	50	5	6	100	0	0.73
maze50_5_7.mz	50	5	7	100	0	1.59
maze50_5_8.mz	50	5	8	98	2	8.959183673469388
maze50_5_9.mz	50	5	9	100	0	2.2
maze50_10_0.mz	50	10	0	100	0	5.24
maze50_10_1.mz	50	10	1	100	0	0.39
maze50_10_2.mz	50	10	2	100	0	0.58
maze50_10_3.mz	50	10	3	100	0	3.16
maze50_10_4.mz	50	10	4	100	0	0.24
maze50_10_5.mz	50	10	5	100	0	0.23
maze50_10_6.mz	50	10	6	100	0	0.13
maze50_10_7.mz	50	10	7	100	0	0.37
maze50_10_8.mz	50	10	8	98	2	9.979591836734693
maze50_10_9.mz	50	10	9	100	0	0.72
maze60_5_0.mz	60	5	0	100	0	1.36
maze60_5_1.mz	60	5	1	100	0	1.91
maze60_5_2.mz	60	5	2	100	0	1.45
maze60_5_3.mz	60	5	3	97	3	9.65979381443299
maze60_5_4.mz	60	5	4	100	0	0.0
maze60_5_5.mz	60	5	5	100	0	3.22
maze60_5_6.mz	60	5	6	100	0	0.13
maze60_5_7.mz	60	5	7	99	1	8.373737373737374
maze60_5_8.mz	60	5	8	100	0	2.66
maze60_5_9.mz	60	5	9	100	0	0.56
maze60_10_0.mz	60	10	0	100	0	1.41
maze60_10_1.mz	60	10	1	100	0	2.68
maze60_10_2.mz	60	10	2	100	0	0.87
maze60_10_3.mz	60	10	3	100	0	1.83
maze60_10_4.mz	60	10	4	100	0	0.16
maze60_10_5.mz	60	10	5	100	0	2.28
maze60_10_6.mz	60	10	6	100	0	2.76
maze60_10_7.mz	60	10	7	100	0	0.92
maze60_10_8.mz	60	10	8	100	0	4.37
maze60_10_9.mz	60	10	9	100	0	1.5
maze60_15_0.mz	60	15	0	100	0	2.29
maze60_15_1.mz	60	15	1	99	1	10.565656565656566
maze60_15_2.mz	60	15	2	100	0	0.96
maze60_15_3.mz	60	15	3	100	0	0.13
maze60_15_4.mz	60	15	4	100	0	0.45
maze60_15_5.mz	60	15	5	95	5	10.894736842105264
maze60_15_6.mz	60	15	6	93	7	11.838709677419354
maze60_15_7.mz	60	15	7	100	0	0.05
maze60_15_8.mz	60	15	8	100	0	2.82
maze60_15_9.mz	60	15	9	98	2	7.459183673469388
maze60_20_0.mz	60	20	0	100	0	0.17
maze60_20_1.mz	60	20	1	100	0	2.66
maze60_20_2.mz	60	20	2	94	6	11.25531914893617
maze60_20_3.mz	60	20	3	100	0	0.66
maze60_20_4.mz	60	20	4	100	0	5.5
maze60_20_5.mz	60	20	5	100	0	1.85
maze60_20_6.mz	60	20	6	97	3	11.34020618556701
maze60_20_7.mz	60	20	7	99	1	2.5454545454545454
maze60_20_8.mz	60	20	8	98	2	5.979591836734694
maze60_20_9.mz	60	20	9	99	1	3.3737373737373737
maze70_5_0.mz	70	5	0	100	0	3.12
maze70_5_1.mz	70	5	1	100	0	1.46
maze70_5_2.mz	70	5	2	100	0	0.63
maze70_5_3.mz	70	5	3	100	0	3.74
maze70_5_4.mz	70	5	4	100	0	0.91
maze70_5_5.mz	70	5	5	99	1	6.434343434343434
maze70_5_6.mz	70	5	6	100	0	0.04
maze70_5_7.mz	70	5	7	100	0	3.33
maze70_5_8.mz	70	5	8	100	0	3.35
maze70_5_9.mz	70	5	9	85	15	13.717647058823529
maze70_10_0.mz	70	10	0	100	0	3.09
maze70_10_1.mz	70	10	1	100	0	0.97
maze70_10_2.mz	70	10	2	100	0	2.78
maze70_10_3.mz	70	10	3	100	0	0.42
maze70_10_4.mz	70	10	4	100	0	6.36
maze70_10_5.mz	70	10	5	100	0	1.25
maze70_10_6.mz	70	10	6	100	0	0.03
maze70_10_7.mz	70	10	7	100	0	0.16
maze70_10_8.mz	70	10	8	100	0	0.5
maze70_10_9.mz	70	10	9	100	0	3.09
maze80_5_0.mz	80	5	0	99	1	3.9494949494949494
maze80_5_1.mz	80	5	1	100	0	4.19
maze80_5_2.mz	80	5	2	100	0	3.18
maze80_5_3.mz	80	5	3	98	2	6.918367346938775
maze80_5_4.mz	80	5	4	100	0	0.16
maze80_5_5.mz	80	5	5	92	8	8.75
maze80_5_6.mz	80	5	6	96	4	10.520833333333334
maze80_5_7.mz	80	5	7	99	1	12.474747474747474
maze80_5_8.mz	80	5	8	100	0	4.03
maze80_5_9.mz	80	5	9	99	1	6.171717171717172
maze80_10_0.mz	80	10	0	50	50	19.34
maze80_10_1.mz	80	10	1	100	0	3.54
maze80_10_2.mz	80	10	2	100	0	0.42
maze80_10_3.mz	80	10	3	100	0	1.84
maze80_10_4.mz	80	10	4	99	1	7.494949494949495
maze80_10_5.mz	80	10	5	100	0	0.81
maze80_10_6.mz	80	10	6	94	6	12.138297872340425
maze80_10_7.mz	80	10	7	100	0	0.64
maze80_10_8.mz	80	10	8	100	0	1.99
maze80_10_9.mz	80	10	9	98	2	7.642857142857143
maze80_20_0.mz	80	20	0	100	0	3.29
maze80_20_1.mz	80	20	1	77	23	16.25974025974026
maze80_20_2.mz	80	20	2	100	0	0.84
maze80_20_3.mz	80	20	3	93	7	10.849462365591398
maze80_20_4.mz	80	20	4	100	0	1.8
maze80_20_5.mz	80	20	5	100	0	5.06
maze80_20_6.mz	80	20	6	98	2	6.5
maze80_20_7.mz	80	20	7	82	18	13.670731707317072
maze80_20_8.mz	80	20	8	97	3	6.061855670103093
maze80_20_9.mz	80	20	9	51	49	22.098039215686274
maze90_5_0.mz	90	5	0	99	1	10.333333333333334
maze90_5_1.mz	90	5	1	15	85	22.6
maze90_5_2.mz	90	5	2	100	0	5.73
maze90_5_3.mz	90	5	3	94	6	10.585106382978724
maze90_5_4.mz	90	5	4	100	0	3.05
maze90_5_5.mz	90	5	5	99	1	4.94949494949495
maze90_5_6.mz	90	5	6	100	0	1.14
maze90_5_7.mz	90	5	7	98	2	7.387755102040816
maze90_5_8.mz	90	5	8	100	0	6.84
maze90_5_9.mz	90	5	9	49	51	24.163265306122447
maze90_10_0.mz	90	10	0	100	0	1.2
maze90_10_1.mz	90	10	1	100	0	0.79
maze90_10_2.mz	90	10	2	100	0	0.8
maze90_10_3.mz	90	10	3	100	0	2.3
maze90_10_4.mz	90	10	4	100	0	2.48
maze90_10_5.mz	90	10	5	82	18	11.75609756097561
maze90_10_6.mz	90	10	6	100	0	0.36
maze90_10_7.mz	90	10	7	99	1	5.02020202020202
maze90_10_8.mz	90	10	8	100	0	4.57
maze90_10_9.mz	90	10	9	94	6	9.287234042553191
maze90_15_0.mz	90	15	0	100	0	0.34
maze90_15_1.mz	90	15	1	100	0	1.05
maze90_15_2.mz	90	15	2	100	0	0.68
maze90_15_3.mz	90	15	3	96	4	7.65625
maze90_15_4.mz	90	15	4	100	0	2.04
maze90_15_5.mz	90	15	5	99	1	3.121212121212121
maze90_15_6.mz	90	15	6	25	75	21.52
maze90_15_7.mz	90	15	7	100	0	1.95
maze90_15_8.mz	90	15	8	100	0	0.52
maze90_15_9.mz	90	15	9	100	0	0.89
maze100_5_0.mz	100	5	0	85	15	14.376470588235295
maze100_5_1.mz	100	5	1	82	18	14.597560975609756
maze100_5_2.mz	100	5	2	18	82	27.72222222222222
maze100_5_3.mz	100	5	3	94	6	12.393617021276595
maze100_5_4.mz	100	5	4	100	0	5.36
maze100_5_5.mz	100	5	5	100	0	0.6
maze100_5_6.mz	100	5	6	99	1	5.515151515151516
maze100_5_7.mz	100	5	7	77	23	15.948051948051948
