Mode XML Parameters
ACO
maxNumIterations	100
pheromonesEvaporationRate	0.65
alpha	0.85
beta	0.85
numberOfAnts	20
GA
geneType	Simple
maxNumIterations	50
eliteNumber	0
mutationRate	0.05
crossoverRate	0.6
EVA
acoImportance	0.75
agImportance	0.25
Maze	dimension	col	#	#ok	#no	avg ok
maze20_5_0.mz	20	5	0	100	0	1.47
maze20_5_1.mz	20	5	1	100	0	0.31
maze20_5_2.mz	20	5	2	100	0	0.03
maze20_5_3.mz	20	5	3	100	0	1.34
maze20_5_4.mz	20	5	4	100	0	0.16
maze20_5_5.mz	20	5	5	100	0	0.06
maze20_5_6.mz	20	5	6	98	2	2.6530612244897958
maze20_5_7.mz	20	5	7	100	0	0.0
maze20_5_8.mz	20	5	8	100	0	0.14
maze20_5_9.mz	20	5	9	100	0	0.97
maze20_10_0.mz	20	10	0	100	0	0.06
maze20_10_1.mz	20	10	1	100	0	0.03
maze20_10_2.mz	20	10	2	100	0	1.43
maze20_10_3.mz	20	10	3	100	0	0.0
maze20_10_4.mz	20	10	4	100	0	0.37
maze20_10_5.mz	20	10	5	100	0	4.94
maze20_10_6.mz	20	10	6	100	0	0.37
maze20_10_7.mz	20	10	7	100	0	0.08
maze20_10_8.mz	20	10	8	100	0	1.1
maze20_10_9.mz	20	10	9	100	0	0.19
maze30_5_0.mz	30	5	0	99	1	1.393939393939394
maze30_5_1.mz	30	5	1	100	0	8.19
maze30_5_2.mz	30	5	2	92	8	8.380434782608695
maze30_5_3.mz	30	5	3	100	0	0.09
maze30_5_4.mz	30	5	4	100	0	0.5
maze30_5_5.mz	30	5	5	99	1	4.0
maze30_5_6.mz	30	5	6	100	0	1.33
maze30_5_7.mz	30	5	7	100	0	1.14
maze30_5_8.mz	30	5	8	100	0	1.99
maze30_5_9.mz	30	5	9	100	0	1.1
maze30_10_0.mz	30	10	0	100	0	0.42
maze30_10_1.mz	30	10	1	100	0	0.04
maze30_10_2.mz	30	10	2	94	6	8.53191489361702
