Mode XML Parameters
ACO
maxNumIterations	50
pheromonesEvaporationRate	0.65
alpha	0.85
beta	0.85
numberOfAnts	15
GA
geneType	LSystem
maxNumIterations	35
eliteNumber	0
mutationRate	0.05
crossoverRate	0.6
EVA
acoImportance	0.5
agImportance	0.5
Maze	dimension	col	#	#ok	#no	avg ok
maze20_5_0.mz	20	5	0	100	0	0.28
maze20_5_1.mz	20	5	1	100	0	0.21
maze20_5_2.mz	20	5	2	100	0	0.01
maze20_5_3.mz	20	5	3	100	0	0.98
maze20_5_4.mz	20	5	4	100	0	0.17
maze20_5_5.mz	20	5	5	100	0	0.01
maze20_5_6.mz	20	5	6	99	1	2.2525252525252526
maze20_5_7.mz	20	5	7	100	0	0.0
maze20_5_8.mz	20	5	8	100	0	0.03
maze20_5_9.mz	20	5	9	100	0	0.6
maze20_10_0.mz	20	10	0	100	0	0.13
maze20_10_1.mz	20	10	1	100	0	0.03
maze20_10_2.mz	20	10	2	100	0	1.53
maze20_10_3.mz	20	10	3	100	0	0.0
maze20_10_4.mz	20	10	4	100	0	0.76
maze20_10_5.mz	20	10	5	100	0	2.9
maze20_10_6.mz	20	10	6	100	0	0.42
maze20_10_7.mz	20	10	7	100	0	0.02
maze20_10_8.mz	20	10	8	100	0	1.37
maze20_10_9.mz	20	10	9	100	0	0.03
maze30_5_0.mz	30	5	0	100	0	1.37
maze30_5_1.mz	30	5	1	99	1	4.94949494949495
maze30_5_2.mz	30	5	2	98	2	3.561224489795918
maze30_5_3.mz	30	5	3	100	0	0.06
maze30_5_4.mz	30	5	4	100	0	0.23
maze30_5_5.mz	30	5	5	100	0	1.2
maze30_5_6.mz	30	5	6	100	0	0.99
maze30_5_7.mz	30	5	7	100	0	0.88
maze30_5_8.mz	30	5	8	99	1	1.5555555555555556
maze30_5_9.mz	30	5	9	100	0	1.24
maze30_10_0.mz	30	10	0	100	0	0.18
maze30_10_1.mz	30	10	1	100	0	0.04
maze30_10_2.mz	30	10	2	100	0	5.7
maze30_10_3.mz	30	10	3	100	0	0.42
maze30_10_4.mz	30	10	4	100	0	0.0
maze30_10_5.mz	30	10	5	100	0	0.08
maze30_10_6.mz	30	10	6	100	0	0.65
maze30_10_7.mz	30	10	7	100	0	2.81
maze30_10_8.mz	30	10	8	100	0	2.37
maze30_10_9.mz	30	10	9	100	0	0.48
maze30_15_0.mz	30	15	0	100	0	0.1
maze30_15_1.mz	30	15	1	100	0	0.13
maze30_15_2.mz	30	15	2	100	0	0.12
maze30_15_3.mz	30	15	3	100	0	2.28
maze30_15_4.mz	30	15	4	98	2	3.4081632653061225
maze30_15_5.mz	30	15	5	100	0	0.47
maze30_15_6.mz	30	15	6	100	0	2.33
maze30_15_7.mz	30	15	7	100	0	0.14
maze30_15_8.mz	30	15	8	99	1	3.6262626262626263
maze30_15_9.mz	30	15	9	100	0	1.38
maze40_5_0.mz	40	5	0	94	6	7.712765957446808
maze40_5_1.mz	40	5	1	97	3	5.360824742268041
maze40_5_2.mz	40	5	2	100	0	0.03
maze40_5_3.mz	40	5	3	100	0	0.04
maze40_5_4.mz	40	5	4	99	1	2.797979797979798
maze40_5_5.mz	40	5	5	100	0	1.69
maze40_5_6.mz	40	5	6	100	0	2.02
maze40_5_7.mz	40	5	7	95	5	2.136842105263158
maze40_5_8.mz	40	5	8	100	0	0.64
maze40_5_9.mz	40	5	9	100	0	0.27
maze40_10_0.mz	40	10	0	100	0	3.07
maze40_10_1.mz	40	10	1	100	0	1.71
maze40_10_2.mz	40	10	2	100	0	0.13
maze40_10_3.mz	40	10	3	100	0	0.85
maze40_10_4.mz	40	10	4	100	0	1.82
maze40_10_5.mz	40	10	5	100	0	0.6
maze40_10_6.mz	40	10	6	100	0	1.42
maze40_10_7.mz	40	10	7	100	0	1.74
maze40_10_8.mz	40	10	8	99	1	1.6868686868686869
maze40_10_9.mz	40	10	9	100	0	0.97
maze40_20_0.mz	40	20	0	99	1	3.5757575757575757
maze40_20_1.mz	40	20	1	98	2	2.1122448979591835
maze40_20_2.mz	40	20	2	99	1	3.919191919191919
maze40_20_3.mz	40	20	3	100	0	2.62
maze40_20_4.mz	40	20	4	86	14	8.30232558139535
maze40_20_5.mz	40	20	5	100	0	2.85
maze40_20_6.mz	40	20	6	100	0	0.66
maze40_20_7.mz	40	20	7	100	0	0.33
maze40_20_8.mz	40	20	8	100	0	0.34
maze40_20_9.mz	40	20	9	100	0	4.82
maze50_5_0.mz	50	5	0	100	0	5.33
maze50_5_1.mz	50	5	1	100	0	3.92
maze50_5_2.mz	50	5	2	92	8	7.086956521739131
maze50_5_3.mz	50	5	3	99	1	3.3838383838383836
maze50_5_4.mz	50	5	4	100	0	0.01
maze50_5_5.mz	50	5	5	100	0	4.04
maze50_5_6.mz	50	5	6	99	1	2.717171717171717
maze50_5_7.mz	50	5	7	100	0	3.82
maze50_5_8.mz	50	5	8	77	23	11.7012987012987
maze50_5_9.mz	50	5	9	99	1	2.1313131313131315
maze50_10_0.mz	50	10	0	94	6	7.329787234042553
maze50_10_1.mz	50	10	1	100	0	1.75
maze50_10_2.mz	50	10	2	100	0	2.21
maze50_10_3.mz	50	10	3	97	3	5.845360824742268
maze50_10_4.mz	50	10	4	100	0	0.74
maze50_10_5.mz	50	10	5	100	0	0.99
maze50_10_6.mz	50	10	6	100	0	0.23
maze50_10_7.mz	50	10	7	100	0	0.9
maze50_10_8.mz	50	10	8	94	6	9.574468085106384
maze50_10_9.mz	50	10	9	100	0	1.52
maze60_5_0.mz	60	5	0	97	3	3.9072164948453607
maze60_5_1.mz	60	5	1	96	4	5.895833333333333
maze60_5_2.mz	60	5	2	100	0	2.06
maze60_5_3.mz	60	5	3	88	12	8.693181818181818
maze60_5_4.mz	60	5	4	100	0	0.01
maze60_5_5.mz	60	5	5	94	6	6.680851063829787
maze60_5_6.mz	60	5	6	100	0	0.96
maze60_5_7.mz	60	5	7	97	3	5.701030927835052
maze60_5_8.mz	60	5	8	98	2	3.979591836734694
maze60_5_9.mz	60	5	9	100	0	1.08
maze60_10_0.mz	60	10	0	100	0	3.77
maze60_10_1.mz	60	10	1	98	2	5.530612244897959
maze60_10_2.mz	60	10	2	99	1	2.5656565656565657
maze60_10_3.mz	60	10	3	98	2	3.306122448979592
maze60_10_4.mz	60	10	4	100	0	0.74
maze60_10_5.mz	60	10	5	98	2	5.346938775510204
maze60_10_6.mz	60	10	6	94	6	7.372340425531915
maze60_10_7.mz	60	10	7	99	1	3.242424242424242
maze60_10_8.mz	60	10	8	94	6	7.75531914893617
maze60_10_9.mz	60	10	9	100	0	4.72
maze60_15_0.mz	60	15	0	99	1	3.01010101010101
maze60_15_1.mz	60	15	1	76	24	12.644736842105264
maze60_15_2.mz	60	15	2	100	0	1.69
maze60_15_3.mz	60	15	3	100	0	0.2
maze60_15_4.mz	60	15	4	100	0	1.04
maze60_15_5.mz	60	15	5	80	20	11.5625
maze60_15_6.mz	60	15	6	74	26	12.108108108108109
maze60_15_7.mz	60	15	7	100	0	0.35
maze60_15_8.mz	60	15	8	98	2	3.5306122448979593
maze60_15_9.mz	60	15	9	93	7	9.666666666666666
maze60_20_0.mz	60	20	0	100	0	0.68
maze60_20_1.mz	60	20	1	99	1	5.242424242424242
maze60_20_2.mz	60	20	2	80	20	10.5875
maze60_20_3.mz	60	20	3	100	0	1.73
maze60_20_4.mz	60	20	4	100	0	2.55
maze60_20_5.mz	60	20	5	99	1	4.606060606060606
maze60_20_6.mz	60	20	6	77	23	14.337662337662337
maze60_20_7.mz	60	20	7	98	2	4.683673469387755
maze60_20_8.mz	60	20	8	99	1	4.818181818181818
maze60_20_9.mz	60	20	9	96	4	6.46875
maze70_5_0.mz	70	5	0	97	3	4.216494845360825
maze70_5_1.mz	70	5	1	100	0	2.93
maze70_5_2.mz	70	5	2	100	0	1.2
maze70_5_3.mz	70	5	3	97	3	6.360824742268041
maze70_5_4.mz	70	5	4	99	1	2.676767676767677
maze70_5_5.mz	70	5	5	95	5	8.010526315789473
