Mode XML Parameters
ACO
maxNumIterations	100
pheromonesEvaporationRate	0.65
alpha	0.85
beta	0.85
numberOfAnts	20
GA
geneType	LSystem
maxNumIterations	50
eliteNumber	0
mutationRate	0.05
crossoverRate	0.6
EVA
acoImportance	0.5
agImportance	0.5
Maze	dimension	col	#	#ok	#no	avg ok
maze20_5_0.mz	20	5	0	100	0	0.2
maze20_5_1.mz	20	5	1	100	0	0.11
maze20_5_2.mz	20	5	2	100	0	0.0
maze20_5_3.mz	20	5	3	100	0	0.55
maze20_5_4.mz	20	5	4	100	0	0.12
maze20_5_5.mz	20	5	5	100	0	0.01
maze20_5_6.mz	20	5	6	100	0	1.11
maze20_5_7.mz	20	5	7	100	0	0.0
maze20_5_8.mz	20	5	8	100	0	0.01
maze20_5_9.mz	20	5	9	100	0	0.48
maze20_10_0.mz	20	10	0	100	0	0.07
maze20_10_1.mz	20	10	1	100	0	0.0
maze20_10_2.mz	20	10	2	100	0	1.13
maze20_10_3.mz	20	10	3	100	0	0.0
maze20_10_4.mz	20	10	4	100	0	0.93
maze20_10_5.mz	20	10	5	100	0	1.66
maze20_10_6.mz	20	10	6	100	0	0.41
maze20_10_7.mz	20	10	7	100	0	0.02
maze20_10_8.mz	20	10	8	100	0	1.38
maze20_10_9.mz	20	10	9	100	0	0.09
maze30_5_0.mz	30	5	0	100	0	0.71
maze30_5_1.mz	30	5	1	99	1	5.484848484848484
maze30_5_2.mz	30	5	2	100	0	5.02
maze30_5_3.mz	30	5	3	100	0	0.0
maze30_5_4.mz	30	5	4	100	0	0.16
maze30_5_5.mz	30	5	5	100	0	0.83
maze30_5_6.mz	30	5	6	100	0	1.0
maze30_5_7.mz	30	5	7	100	0	0.52
maze30_5_8.mz	30	5	8	100	0	1.1
maze30_5_9.mz	30	5	9	100	0	1.37
maze30_10_0.mz	30	10	0	100	0	0.06
maze30_10_1.mz	30	10	1	100	0	0.02
maze30_10_2.mz	30	10	2	100	0	4.43
maze30_10_3.mz	30	10	3	100	0	0.27
maze30_10_4.mz	30	10	4	100	0	0.0
maze30_10_5.mz	30	10	5	100	0	0.11
maze30_10_6.mz	30	10	6	100	0	0.26
maze30_10_7.mz	30	10	7	100	0	3.35
maze30_10_8.mz	30	10	8	100	0	1.93
maze30_10_9.mz	30	10	9	100	0	0.44
maze30_15_0.mz	30	15	0	100	0	0.07
maze30_15_1.mz	30	15	1	100	0	0.01
maze30_15_2.mz	30	15	2	100	0	0.04
maze30_15_3.mz	30	15	3	100	0	1.1
maze30_15_4.mz	30	15	4	100	0	1.46
maze30_15_5.mz	30	15	5	100	0	0.71
maze30_15_6.mz	30	15	6	100	0	1.58
maze30_15_7.mz	30	15	7	100	0	0.04
maze30_15_8.mz	30	15	8	100	0	3.74
maze30_15_9.mz	30	15	9	100	0	0.7
maze40_5_0.mz	40	5	0	96	4	10.5625
maze40_5_1.mz	40	5	1	98	2	6.612244897959184
maze40_5_2.mz	40	5	2	100	0	0.01
maze40_5_3.mz	40	5	3	100	0	0.01
maze40_5_4.mz	40	5	4	100	0	1.77
maze40_5_5.mz	40	5	5	100	0	0.92
maze40_5_6.mz	40	5	6	100	0	2.15
maze40_5_7.mz	40	5	7	100	0	2.04
maze40_5_8.mz	40	5	8	100	0	0.42
maze40_5_9.mz	40	5	9	100	0	0.19
maze40_10_0.mz	40	10	0	100	0	2.25
maze40_10_1.mz	40	10	1	100	0	1.0
maze40_10_2.mz	40	10	2	100	0	0.05
maze40_10_3.mz	40	10	3	100	0	0.48
maze40_10_4.mz	40	10	4	100	0	2.53
maze40_10_5.mz	40	10	5	100	0	0.48
maze40_10_6.mz	40	10	6	100	0	0.89
maze40_10_7.mz	40	10	7	100	0	1.08
maze40_10_8.mz	40	10	8	100	0	1.91
maze40_10_9.mz	40	10	9	100	0	1.14
maze40_20_0.mz	40	20	0	100	0	2.11
maze40_20_1.mz	40	20	1	100	0	1.58
maze40_20_2.mz	40	20	2	100	0	2.25
maze40_20_3.mz	40	20	3	100	0	1.58
maze40_20_4.mz	40	20	4	95	5	8.715789473684211
maze40_20_5.mz	40	20	5	100	0	2.25
maze40_20_6.mz	40	20	6	100	0	0.35
maze40_20_7.mz	40	20	7	100	0	0.29
maze40_20_8.mz	40	20	8	100	0	0.17
maze40_20_9.mz	40	20	9	100	0	3.05
maze50_5_0.mz	50	5	0	100	0	2.37
maze50_5_1.mz	50	5	1	100	0	2.99
maze50_5_2.mz	50	5	2	99	1	8.313131313131313
maze50_5_3.mz	50	5	3	100	0	1.93
maze50_5_4.mz	50	5	4	100	0	0.0
maze50_5_5.mz	50	5	5	100	0	3.97
maze50_5_6.mz	50	5	6	100	0	2.25
maze50_5_7.mz	50	5	7	99	1	3.7474747474747474
maze50_5_8.mz	50	5	8	91	9	13.373626373626374
maze50_5_9.mz	50	5	9	100	0	1.3
maze50_10_0.mz	50	10	0	99	1	6.353535353535354
maze50_10_1.mz	50	10	1	100	0	0.78
maze50_10_2.mz	50	10	2	100	0	1.85
maze50_10_3.mz	50	10	3	100	0	7.0
maze50_10_4.mz	50	10	4	100	0	0.3
maze50_10_5.mz	50	10	5	100	0	1.0
maze50_10_6.mz	50	10	6	100	0	0.07
maze50_10_7.mz	50	10	7	100	0	0.58
maze50_10_8.mz	50	10	8	99	1	9.454545454545455
maze50_10_9.mz	50	10	9	100	0	1.58
maze60_5_0.mz	60	5	0	99	1	4.97979797979798
maze60_5_1.mz	60	5	1	100	0	3.63
maze60_5_2.mz	60	5	2	100	0	2.08
maze60_5_3.mz	60	5	3	96	4	10.21875
maze60_5_4.mz	60	5	4	100	0	0.0
maze60_5_5.mz	60	5	5	99	1	7.888888888888889
maze60_5_6.mz	60	5	6	100	0	0.52
maze60_5_7.mz	60	5	7	100	0	6.9
maze60_5_8.mz	60	5	8	100	0	2.98
maze60_5_9.mz	60	5	9	100	0	0.8
maze60_10_0.mz	60	10	0	100	0	2.93
maze60_10_1.mz	60	10	1	100	0	5.85
maze60_10_2.mz	60	10	2	100	0	1.54
maze60_10_3.mz	60	10	3	99	1	3.242424242424242
maze60_10_4.mz	60	10	4	100	0	0.51
maze60_10_5.mz	60	10	5	100	0	4.2
maze60_10_6.mz	60	10	6	98	2	8.510204081632653
maze60_10_7.mz	60	10	7	100	0	1.76
maze60_10_8.mz	60	10	8	97	3	8.628865979381443
maze60_10_9.mz	60	10	9	100	0	3.9
maze60_15_0.mz	60	15	0	100	0	2.19
maze60_15_1.mz	60	15	1	95	5	14.68421052631579
maze60_15_2.mz	60	15	2	100	0	1.17
maze60_15_3.mz	60	15	3	100	0	0.06
maze60_15_4.mz	60	15	4	100	0	0.41
maze60_15_5.mz	60	15	5	89	11	17.8876404494382
maze60_15_6.mz	60	15	6	87	13	20.149425287356323
maze60_15_7.mz	60	15	7	100	0	0.14
maze60_15_8.mz	60	15	8	99	1	1.9595959595959596
maze60_15_9.mz	60	15	9	95	5	12.873684210526315
maze60_20_0.mz	60	20	0	100	0	0.31
maze60_20_1.mz	60	20	1	100	0	5.2
maze60_20_2.mz	60	20	2	87	13	18.275862068965516
maze60_20_3.mz	60	20	3	100	0	1.01
maze60_20_4.mz	60	20	4	100	0	1.18
maze60_20_5.mz	60	20	5	100	0	4.57
maze60_20_6.mz	60	20	6	93	7	11.419354838709678
maze60_20_7.mz	60	20	7	100	0	4.85
maze60_20_8.mz	60	20	8	100	0	3.26
maze60_20_9.mz	60	20	9	100	0	6.64
maze70_5_0.mz	70	5	0	99	1	5.333333333333333
maze70_5_1.mz	70	5	1	100	0	2.02
maze70_5_2.mz	70	5	2	100	0	0.53
maze70_5_3.mz	70	5	3	100	0	6.75
maze70_5_4.mz	70	5	4	100	0	2.09
maze70_5_5.mz	70	5	5	99	1	7.202020202020202
maze70_5_6.mz	70	5	6	100	0	0.16
maze70_5_7.mz	70	5	7	98	2	6.612244897959184
maze70_5_8.mz	70	5	8	98	2	7.214285714285714
maze70_5_9.mz	70	5	9	93	7	17.29032258064516
maze70_10_0.mz	70	10	0	100	0	7.38
maze70_10_1.mz	70	10	1	100	0	1.17
maze70_10_2.mz	70	10	2	99	1	5.565656565656566
maze70_10_3.mz	70	10	3	100	0	0.72
maze70_10_4.mz	70	10	4	98	2	9.122448979591837
maze70_10_5.mz	70	10	5	100	0	3.34
maze70_10_6.mz	70	10	6	100	0	0.05
maze70_10_7.mz	70	10	7	100	0	0.33
maze70_10_8.mz	70	10	8	100	0	0.62
maze70_10_9.mz	70	10	9	99	1	4.08080808080808
maze80_5_0.mz	80	5	0	99	1	8.797979797979798
maze80_5_1.mz	80	5	1	100	0	2.77
maze80_5_2.mz	80	5	2	98	2	8.326530612244898
maze80_5_3.mz	80	5	3	93	7	12.172043010752688
maze80_5_4.mz	80	5	4	100	0	0.12
maze80_5_5.mz	80	5	5	93	7	12.817204301075268
maze80_5_6.mz	80	5	6	89	11	10.370786516853933
maze80_5_7.mz	80	5	7	85	15	17.71764705882353
maze80_5_8.mz	80	5	8	100	0	3.96
maze80_5_9.mz	80	5	9	96	4	14.666666666666666
maze80_10_0.mz	80	10	0	68	32	23.897058823529413
maze80_10_1.mz	80	10	1	99	1	5.292929292929293
maze80_10_2.mz	80	10	2	100	0	1.45
maze80_10_3.mz	80	10	3	100	0	3.98
maze80_10_4.mz	80	10	4	93	7	15.956989247311828
maze80_10_5.mz	80	10	5	100	0	1.11
maze80_10_6.mz	80	10	6	92	8	14.08695652173913
maze80_10_7.mz	80	10	7	100	0	0.2
maze80_10_8.mz	80	10	8	100	0	3.68
maze80_10_9.mz	80	10	9	97	3	13.11340206185567
maze80_20_0.mz	80	20	0	100	0	0.66
maze80_20_1.mz	80	20	1	78	22	24.333333333333332
maze80_20_2.mz	80	20	2	100	0	0.79
maze80_20_3.mz	80	20	3	88	12	15.215909090909092
maze80_20_4.mz	80	20	4	100	0	1.47
maze80_20_5.mz	80	20	5	98	2	9.061224489795919
maze80_20_6.mz	80	20	6	99	1	4.98989898989899
maze80_20_7.mz	80	20	7	89	11	19.269662921348313
maze80_20_8.mz	80	20	8	97	3	6.494845360824742
maze80_20_9.mz	80	20	9	56	44	33.732142857142854
maze90_5_0.mz	90	5	0	97	3	11.618556701030927
maze90_5_1.mz	90	5	1	26	74	39.15384615384615
maze90_5_2.mz	90	5	2	96	4	7.635416666666667
maze90_5_3.mz	90	5	3	96	4	17.541666666666668
maze90_5_4.mz	90	5	4	99	1	5.98989898989899
maze90_5_5.mz	90	5	5	95	5	12.673684210526316
maze90_5_6.mz	90	5	6	100	0	1.75
maze90_5_7.mz	90	5	7	95	5	12.136842105263158
maze90_5_8.mz	90	5	8	99	1	6.777777777777778
maze90_5_9.mz	90	5	9	45	55	38.91111111111111
maze90_10_0.mz	90	10	0	100	0	2.26
maze90_10_1.mz	90	10	1	100	0	0.9
maze90_10_2.mz	90	10	2	100	0	1.6
maze90_10_3.mz	90	10	3	99	1	3.9494949494949494
