Mode XML Parameters
ACO
maxNumIterations	50
pheromonesEvaporationRate	0.65
alpha	0.85
beta	0.85
numberOfAnts	15
GA
geneType	LSystem
maxNumIterations	35
eliteNumber	0
mutationRate	0.05
crossoverRate	0.6
EVA
acoImportance	0.75
agImportance	0.25
Maze	dimension	col	#	#ok	#no	avg ok
maze20_5_0.mz	20	5	0	100	0	1.31
maze20_5_1.mz	20	5	1	100	0	0.36
maze20_5_2.mz	20	5	2	100	0	0.1
maze20_5_3.mz	20	5	3	100	0	2.24
maze20_5_4.mz	20	5	4	100	0	0.49
maze20_5_5.mz	20	5	5	100	0	0.1
maze20_5_6.mz	20	5	6	98	2	3.989795918367347
maze20_5_7.mz	20	5	7	100	0	0.02
maze20_5_8.mz	20	5	8	100	0	0.13
maze20_5_9.mz	20	5	9	100	0	0.93
maze20_10_0.mz	20	10	0	100	0	0.22
maze20_10_1.mz	20	10	1	100	0	0.04
maze20_10_2.mz	20	10	2	100	0	1.66
maze20_10_3.mz	20	10	3	100	0	0.0
maze20_10_4.mz	20	10	4	100	0	1.4
maze20_10_5.mz	20	10	5	97	3	5.010309278350515
maze20_10_6.mz	20	10	6	100	0	0.69
maze20_10_7.mz	20	10	7	100	0	0.2
maze20_10_8.mz	20	10	8	100	0	1.52
maze20_10_9.mz	20	10	9	100	0	0.41
maze30_5_0.mz	30	5	0	100	0	1.98
maze30_5_1.mz	30	5	1	91	9	5.2967032967032965
maze30_5_2.mz	30	5	2	86	14	9.465116279069768
maze30_5_3.mz	30	5	3	100	0	0.03
maze30_5_4.mz	30	5	4	100	0	0.22
maze30_5_5.mz	30	5	5	100	0	4.12
maze30_5_6.mz	30	5	6	98	2	2.0408163265306123
maze30_5_7.mz	30	5	7	100	0	1.6
maze30_5_8.mz	30	5	8	98	2	4.428571428571429
maze30_5_9.mz	30	5	9	100	0	1.54
maze30_10_0.mz	30	10	0	100	0	0.43
maze30_10_1.mz	30	10	1	100	0	0.16
maze30_10_2.mz	30	10	2	90	10	7.366666666666666
maze30_10_3.mz	30	10	3	100	0	1.81
maze30_10_4.mz	30	10	4	100	0	0.02
maze30_10_5.mz	30	10	5	100	0	0.48
maze30_10_6.mz	30	10	6	98	2	1.653061224489796
maze30_10_7.mz	30	10	7	95	5	3.0736842105263156
maze30_10_8.mz	30	10	8	96	4	3.2395833333333335
maze30_10_9.mz	30	10	9	99	1	0.5151515151515151
maze30_15_0.mz	30	15	0	100	0	0.1
maze30_15_1.mz	30	15	1	100	0	0.41
maze30_15_2.mz	30	15	2	100	0	0.21
maze30_15_3.mz	30	15	3	99	1	1.8888888888888888
maze30_15_4.mz	30	15	4	98	2	4.295918367346939
maze30_15_5.mz	30	15	5	100	0	2.44
maze30_15_6.mz	30	15	6	98	2	1.9183673469387754
maze30_15_7.mz	30	15	7	100	0	0.3
maze30_15_8.mz	30	15	8	95	5	5.3052631578947365
maze30_15_9.mz	30	15	9	95	5	4.5473684210526315
maze40_5_0.mz	40	5	0	82	18	9.231707317073171
maze40_5_1.mz	40	5	1	84	16	8.011904761904763
maze40_5_2.mz	40	5	2	100	0	0.09
maze40_5_3.mz	40	5	3	100	0	0.39
maze40_5_4.mz	40	5	4	98	2	3.020408163265306
maze40_5_5.mz	40	5	5	97	3	4.474226804123711
maze40_5_6.mz	40	5	6	97	3	5.041237113402062
maze40_5_7.mz	40	5	7	94	6	4.946808510638298
maze40_5_8.mz	40	5	8	100	0	0.84
maze40_5_9.mz	40	5	9	100	0	0.64
maze40_10_0.mz	40	10	0	99	1	6.434343434343434
maze40_10_1.mz	40	10	1	97	3	2.0309278350515463
maze40_10_2.mz	40	10	2	100	0	0.2
maze40_10_3.mz	40	10	3	99	1	1.1717171717171717
maze40_10_4.mz	40	10	4	98	2	3.683673469387755
maze40_10_5.mz	40	10	5	100	0	2.09
maze40_10_6.mz	40	10	6	97	3	3.484536082474227
maze40_10_7.mz	40	10	7	98	2	2.7448979591836733
maze40_10_8.mz	40	10	8	96	4	3.6770833333333335
maze40_10_9.mz	40	10	9	100	0	3.23
