Mode XML Parameters
ACO
maxNumIterations	100
pheromonesEvaporationRate	0.65
alpha	0.85
beta	0.85
numberOfAnts	20
GA
geneType	LSystem
maxNumIterations	50
eliteNumber	0
mutationRate	0.05
crossoverRate	0.6
EVA
acoImportance	0.25
agImportance	0.75
Maze	dimension	col	#	#ok	#no	avg ok
maze20_5_0.mz	20	5	0	100	0	0.23
maze20_5_1.mz	20	5	1	100	0	0.12
maze20_5_2.mz	20	5	2	100	0	0.0
maze20_5_3.mz	20	5	3	100	0	0.35
maze20_5_4.mz	20	5	4	100	0	0.07
maze20_5_5.mz	20	5	5	100	0	0.0
maze20_5_6.mz	20	5	6	100	0	0.72
maze20_5_7.mz	20	5	7	100	0	0.0
maze20_5_8.mz	20	5	8	100	0	0.0
maze20_5_9.mz	20	5	9	100	0	0.25
maze20_10_0.mz	20	10	0	100	0	0.02
maze20_10_1.mz	20	10	1	100	0	0.0
maze20_10_2.mz	20	10	2	100	0	0.56
maze20_10_3.mz	20	10	3	100	0	0.0
maze20_10_4.mz	20	10	4	100	0	0.21
maze20_10_5.mz	20	10	5	100	0	1.02
maze20_10_6.mz	20	10	6	100	0	0.12
maze20_10_7.mz	20	10	7	100	0	0.0
maze20_10_8.mz	20	10	8	100	0	0.86
maze20_10_9.mz	20	10	9	100	0	0.0
maze30_5_0.mz	30	5	0	100	0	0.64
maze30_5_1.mz	30	5	1	100	0	4.87
maze30_5_2.mz	30	5	2	100	0	1.63
maze30_5_3.mz	30	5	3	100	0	0.0
maze30_5_4.mz	30	5	4	100	0	0.04
maze30_5_5.mz	30	5	5	100	0	0.68
maze30_5_6.mz	30	5	6	100	0	0.27
maze30_5_7.mz	30	5	7	100	0	0.55
maze30_5_8.mz	30	5	8	100	0	0.76
maze30_5_9.mz	30	5	9	100	0	0.55
maze30_10_0.mz	30	10	0	100	0	0.02
maze30_10_1.mz	30	10	1	100	0	0.0
maze30_10_2.mz	30	10	2	100	0	2.01
maze30_10_3.mz	30	10	3	100	0	0.03
maze30_10_4.mz	30	10	4	100	0	0.0
maze30_10_5.mz	30	10	5	100	0	0.0
maze30_10_6.mz	30	10	6	100	0	0.16
maze30_10_7.mz	30	10	7	100	0	1.31
maze30_10_8.mz	30	10	8	100	0	0.97
maze30_10_9.mz	30	10	9	100	0	0.28
maze30_15_0.mz	30	15	0	100	0	0.08
maze30_15_1.mz	30	15	1	100	0	0.0
maze30_15_2.mz	30	15	2	100	0	0.0
maze30_15_3.mz	30	15	3	100	0	0.84
maze30_15_4.mz	30	15	4	100	0	1.81
maze30_15_5.mz	30	15	5	100	0	0.08
maze30_15_6.mz	30	15	6	100	0	2.03
maze30_15_7.mz	30	15	7	100	0	0.01
maze30_15_8.mz	30	15	8	100	0	2.44
maze30_15_9.mz	30	15	9	100	0	0.11
maze40_5_0.mz	40	5	0	99	1	5.454545454545454
maze40_5_1.mz	40	5	1	100	0	3.37
maze40_5_2.mz	40	5	2	100	0	0.0
maze40_5_3.mz	40	5	3	100	0	0.0
maze40_5_4.mz	40	5	4	100	0	1.77
maze40_5_5.mz	40	5	5	100	0	0.96
maze40_5_6.mz	40	5	6	100	0	1.71
