Mode XML Parameters
ACO
maxNumIterations	35
pheromonesEvaporationRate	0.65
alpha	0.85
beta	0.85
numberOfAnts	15
GA
geneType	Simple
maxNumIterations	1
eliteNumber	0
mutationRate	0
crossoverRate	0
EVA
acoImportance	1
agImportance	0
Maze	dimension	col	#	#ok	#no	avg ok
maze20_5_0.mz	20	5	0	97	3	1.8969072164948453
maze20_5_1.mz	20	5	1	99	1	0.9090909090909091
maze20_5_2.mz	20	5	2	100	0	0.93
maze20_5_3.mz	20	5	3	91	9	3.1538461538461537
maze20_5_4.mz	20	5	4	98	2	0.9795918367346939
maze20_5_5.mz	20	5	5	98	2	0.04081632653061224
maze20_5_6.mz	20	5	6	84	16	5.583333333333333
maze20_5_7.mz	20	5	7	100	0	0.02
maze20_5_8.mz	20	5	8	100	0	0.59
maze20_5_9.mz	20	5	9	100	0	1.06
maze20_10_0.mz	20	10	0	95	5	0.631578947368421
maze20_10_1.mz	20	10	1	100	0	0.17
maze20_10_2.mz	20	10	2	91	9	2.758241758241758
maze20_10_3.mz	20	10	3	100	0	0.48
maze20_10_4.mz	20	10	4	99	1	1.3737373737373737
maze20_10_5.mz	20	10	5	89	11	3.561797752808989
maze20_10_6.mz	20	10	6	95	5	2.8210526315789473
maze20_10_7.mz	20	10	7	100	0	0.6
maze20_10_8.mz	20	10	8	87	13	2.5977011494252875
maze20_10_9.mz	20	10	9	98	2	1.0408163265306123
maze30_5_0.mz	30	5	0	92	8	2.597826086956522
maze30_5_1.mz	30	5	1	68	32	5.6911764705882355
maze30_5_2.mz	30	5	2	69	31	5.173913043478261
maze30_5_3.mz	30	5	3	99	1	0.5050505050505051
maze30_5_4.mz	30	5	4	98	2	0.6428571428571429
maze30_5_5.mz	30	5	5	85	15	2.9647058823529413
maze30_5_6.mz	30	5	6	96	4	2.4270833333333335
maze30_5_7.mz	30	5	7	93	7	2.204301075268817
maze30_5_8.mz	30	5	8	82	18	4.317073170731708
maze30_5_9.mz	30	5	9	91	9	2.868131868131868
maze30_10_0.mz	30	10	0	97	3	0.865979381443299
maze30_10_1.mz	30	10	1	100	0	0.27
maze30_10_2.mz	30	10	2	72	28	7.277777777777778
maze30_10_3.mz	30	10	3	93	7	2.4623655913978495
maze30_10_4.mz	30	10	4	99	1	0.3333333333333333
maze30_10_5.mz	30	10	5	97	3	0.9690721649484536
maze30_10_6.mz	30	10	6	93	7	1.3870967741935485
maze30_10_7.mz	30	10	7	78	22	5.076923076923077
maze30_10_8.mz	30	10	8	82	18	4.304878048780488
maze30_10_9.mz	30	10	9	96	4	1.9479166666666667
maze30_15_0.mz	30	15	0	100	0	0.63
maze30_15_1.mz	30	15	1	94	6	1.4042553191489362
maze30_15_2.mz	30	15	2	98	2	1.5408163265306123
maze30_15_3.mz	30	15	3	93	7	1.8602150537634408
maze30_15_4.mz	30	15	4	87	13	2.6091954022988504
maze30_15_5.mz	30	15	5	89	11	3.3707865168539324
maze30_15_6.mz	30	15	6	88	12	2.8636363636363638
