Mode XML Parameters
ACO
maxNumIterations	50
pheromonesEvaporationRate	0.65
alpha	0.85
beta	0.85
numberOfAnts	20
GA
geneType	Simple
maxNumIterations	1
eliteNumber	0
mutationRate	0
crossoverRate	0
EVA
acoImportance	1
agImportance	0
Maze	dimension	col	#	#ok	#no	avg ok
maze20_5_0.mz	20	5	0	97	3	0.5567010309278351
maze20_5_1.mz	20	5	1	99	1	1.101010101010101
maze20_5_2.mz	20	5	2	100	0	1.0
maze20_5_3.mz	20	5	3	92	8	3.097826086956522
maze20_5_4.mz	20	5	4	100	0	0.45
maze20_5_5.mz	20	5	5	96	4	0.16666666666666666
maze20_5_6.mz	20	5	6	86	14	7.3023255813953485
maze20_5_7.mz	20	5	7	100	0	0.16
maze20_5_8.mz	20	5	8	98	2	0.16326530612244897
maze20_5_9.mz	20	5	9	93	7	2.6236559139784945
maze20_10_0.mz	20	10	0	100	0	0.41
maze20_10_1.mz	20	10	1	100	0	0.46
maze20_10_2.mz	20	10	2	95	5	3.694736842105263
maze20_10_3.mz	20	10	3	100	0	0.04
maze20_10_4.mz	20	10	4	99	1	1.5151515151515151
maze20_10_5.mz	20	10	5	87	13	3.632183908045977
maze20_10_6.mz	20	10	6	97	3	2.6907216494845363
maze20_10_7.mz	20	10	7	98	2	0.46938775510204084
maze20_10_8.mz	20	10	8	97	3	2.948453608247423
maze20_10_9.mz	20	10	9	100	0	0.52
maze30_5_0.mz	30	5	0	93	7	2.3763440860215055
maze30_5_1.mz	30	5	1	85	15	6.435294117647059
maze30_5_2.mz	30	5	2	79	21	6.670886075949367
maze30_5_3.mz	30	5	3	98	2	0.7755102040816326
maze30_5_4.mz	30	5	4	99	1	1.1717171717171717
maze30_5_5.mz	30	5	5	90	10	3.7888888888888888
maze30_5_6.mz	30	5	6	96	4	1.9791666666666667
maze30_5_7.mz	30	5	7	93	7	1.978494623655914
maze30_5_8.mz	30	5	8	94	6	4.457446808510638
maze30_5_9.mz	30	5	9	96	4	2.4583333333333335
maze30_10_0.mz	30	10	0	100	0	0.63
maze30_10_1.mz	30	10	1	100	0	0.09
maze30_10_2.mz	30	10	2	79	21	3.2278481012658227
maze30_10_3.mz	30	10	3	97	3	2.381443298969072
maze30_10_4.mz	30	10	4	100	0	0.03
maze30_10_5.mz	30	10	5	98	2	0.8673469387755102
maze30_10_6.mz	30	10	6	94	6	2.6808510638297873
maze30_10_7.mz	30	10	7	80	20	4.1125
maze30_10_8.mz	30	10	8	90	10	5.4222222222222225
maze30_10_9.mz	30	10	9	97	3	1.288659793814433
maze30_15_0.mz	30	15	0	100	0	0.23
maze30_15_1.mz	30	15	1	100	0	1.13
maze30_15_2.mz	30	15	2	99	1	0.9191919191919192
maze30_15_3.mz	30	15	3	97	3	3.329896907216495
maze30_15_4.mz	30	15	4	90	10	3.411111111111111
maze30_15_5.mz	30	15	5	92	8	3.739130434782609
maze30_15_6.mz	30	15	6	90	10	3.6333333333333333
maze30_15_7.mz	30	15	7	98	2	0.8469387755102041
maze30_15_8.mz	30	15	8	89	11	5.280898876404494
maze30_15_9.mz	30	15	9	86	14	9.244186046511627
maze40_5_0.mz	40	5	0	64	36	8.734375
maze40_5_1.mz	40	5	1	68	32	6.0588235294117645
maze40_5_2.mz	40	5	2	100	0	1.04
